,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
688,"Collin County, Texas",334794,113597,88.5,114316,21.2,19162,18.2,22397,2.0,9584,0.7,2816,12.0,26945,249659,128429,7.9,58085,31.9,104322,40.4,152723,7.8,127385,9.4,170379,2.5,112777,939585,41174,70.4,43970,9.3,31332,0.4,34735,14.1,41164,0.1,26882,2.5,24048,3.2,22873,15.1,21947,58.3,48740,33.0,34.5,26.2
689,"Comal County, Texas",48604,99722,77.2,94357,24.7,32389,35.4,19948,4.9,10978,1.6,1765,25.7,32679,37528,109363,17.3,77254,32.9,105062,34.7,126420,6.9,97165,6.9,133276,1.3,128930,134788,37145,89.4,38531,2.3,38689,0.1,N,1.1,18416,0.1,N,5.5,18426,1.5,31699,26.9,20803,68.5,43770,22.1,20.0,17.7
690,"Coryell County, Texas",22682,64622,80.6,55419,11.7,N,25.7,14845,5.8,8328,0.8,N,31.5,30366,16992,70395,13.2,84121,41.3,52474,33.0,76905,3.9,79859,5.4,114770,3.2,92468,74686,21153,72.1,24093,10.6,14422,1.3,11762,2.2,22695,0.7,N,1.1,24033,12.0,10291,18.0,14043,59.1,26358,21.7,22.2,17.7
691,"Dallas County, Texas",924789,80938,85.9,80919,13.6,27087,20.9,17661,4.3,8918,1.4,2427,10.9,24980,599364,91059,8.6,45662,37.5,70985,28.5,129329,12.5,76358,7.7,117946,5.2,96706,2574984,29765,61.8,33805,22.6,22212,0.3,25639,6.1,34846,0.1,38378,6.2,15950,3.0,21780,39.9,15802,29.7,53185,37.2,39.0,29.3
692,"Denton County, Texas",281964,106034,89.0,104916,19.4,20733,19.3,20519,2.5,9118,1.0,2627,11.1,28207,197137,124864,7.0,62121,28.5,107930,41.0,146561,9.4,92854,10.3,156827,3.8,125362,806180,38490,74.3,41760,9.2,30080,0.5,33086,7.9,37470,0.1,31295,4.0,20621,4.0,17614,19.2,22483,60.1,46182,35.3,34.6,28.6
693,"Ector County, Texas",51012,79688,85.8,77851,13.8,38466,22.6,17804,4.5,8613,2.4,3446,11.5,17879,33158,84517,8.0,37455,37.7,74684,28.1,105175,12.8,70647,7.9,114123,5.5,104820,157462,28299,85.3,29596,4.9,14505,0.7,7164,1.1,19272,0.0,N,5.5,26126,2.5,25593,59.7,20678,33.5,43499,28.0,30.2,20.0
694,"Ellis County, Texas",55586,86074,85.2,81193,17.8,22460,28.5,20061,4.8,11276,1.1,2304,17.8,28013,43853,93973,9.7,49799,31.8,76077,34.2,112335,10.5,79037,10.6,142487,3.3,97221,168499,29197,83.8,30959,9.8,22243,0.7,15802,0.8,31385,0.0,N,1.4,22300,3.5,10466,25.9,17403,61.8,35677,24.9,24.9,19.0
695,"El Paso County, Texas",267376,57072,80.5,56906,9.4,22333,26.9,14373,7.2,7521,1.6,2668,14.3,21782,195019,62770,13.3,38304,38.9,47592,22.8,89670,12.3,59096,7.8,100759,5.0,72842,837918,19587,80.5,20021,3.6,23264,0.6,18256,1.3,27333,0.0,N,11.4,14556,2.5,18682,82.2,16842,12.3,34779,31.7,34.4,22.6
696,"Fort Bend County, Texas",230121,119536,88.0,118606,21.5,24099,20.5,21456,2.9,8901,1.2,2658,13.2,31241,189182,129326,8.2,54603,32.6,110794,33.5,155553,10.3,95772,11.5,189613,3.9,127278,741237,37731,52.5,42070,20.5,29535,0.4,N,19.8,38531,0.0,N,4.6,21730,2.1,29432,24.2,22881,34.0,52240,32.7,33.8,23.6
697,"Galveston County, Texas",120938,90498,80.6,93884,19.3,14684,28.6,18458,4.3,10043,0.9,3667,19.7,25510,85288,104994,11.9,51577,33.5,76362,31.2,146379,11.3,93890,8.3,155172,3.7,108033,329431,33895,78.4,36202,13.2,25727,0.8,16482,3.5,38131,0.0,N,2.2,19978,1.9,11739,24.1,22670,57.8,40526,37.1,37.6,29.5
698,"Grayson County, Texas",47135,66350,74.2,68863,18.9,9476,34.2,19173,5.3,9612,1.6,2476,21.8,22800,31836,78605,16.8,50461,33.4,63596,30.2,105217,8.5,76561,6.8,107977,4.2,75465,128235,25852,86.6,26931,4.3,20033,1.1,25028,1.4,17022,0.0,N,2.4,11161,4.2,21362,13.0,16246,76.1,28246,45.3,44.0,34.8
699,"Gregg County, Texas",45231,61736,79.0,59697,18.4,22018,31.3,17143,7.4,8742,1.4,1444,16.9,18561,30937,70616,12.5,47831,40.4,52591,25.8,97622,11.9,59624,7.1,121584,2.2,109059,123745,23451,74.5,25915,20.8,16467,0.4,42968,1.5,20462,0.0,N,0.8,12214,1.8,5574,18.6,11176,57.7,30087,27.3,25.2,19.1
700,"Guadalupe County, Texas",51935,86068,80.4,81725,17.0,19959,31.2,17442,2.1,8435,0.8,N,27.1,29773,38107,96303,12.5,74031,35.4,75765,34.8,122157,6.8,71640,7.6,132936,3.0,94280,155265,31284,68.6,34476,7.1,31745,0.1,N,2.0,22233,1.1,19794,18.1,24384,3.0,9559,37.6,22152,50.9,38920,25.3,25.8,20.9
701,"Harris County, Texas",1606399,84551,86.3,85460,15.2,20975,20.0,17952,4.3,9429,1.5,2764,10.7,24504,1089631,94738,9.7,43069,37.3,75409,28.2,135217,12.6,74102,8.0,136348,4.2,96589,4589928,30496,62.8,34448,19.0,23021,0.3,23464,6.9,35523,0.1,12394,8.6,16566,2.3,22869,42.4,17746,30.2,51948,35.6,37.7,27.7
702,"Harrison County, Texas",23742,57647,78.4,57164,14.9,10065,31.2,19578,6.2,9503,1.4,N,15.7,20645,18195,63880,N,N,N,N,N,N,N,N,N,N,N,N,66534,21580,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36.7,36.1,26.9
703,"Hays County, Texas",71267,83539,86.7,79205,19.3,22551,21.8,20524,3.3,10014,0.7,4242,16.2,27797,47619,97161,8.8,64529,33.0,76616,37.9,116345,7.4,76356,8.4,142801,4.5,99119,204470,29990,90.1,31065,4.2,21970,0.2,26465,1.6,31860,0.0,N,1.8,12298,2.1,13944,38.1,20382,54.5,37656,38.5,37.5,29.2
704,"Henderson County, Texas",30403,64111,68.4,68273,14.6,12137,44.1,19441,6.7,7564,1.4,6027,22.8,21487,20734,68105,21.3,44970,34.5,60866,29.4,87030,6.4,64664,5.0,111134,3.5,66505,79901,25073,90.0,23740,6.0,N,1.2,20979,0.1,N,0.3,N,0.5,N,2.0,11793,12.2,9275,78.6,25890,30.6,30.8,22.7
705,"Hidalgo County, Texas",234716,53230,79.7,54510,8.2,15099,28.0,14096,9.9,7561,1.7,2402,11.5,20550,189838,55703,16.0,26125,40.6,41065,21.2,82131,11.6,56898,6.0,97601,4.7,107108,849843,15918,84.4,15747,0.3,26075,0.2,24318,1.1,51329,0.0,N,12.5,13995,1.5,11631,91.8,14522,6.6,29462,32.7,34.6,23.6
706,"Hunt County, Texas",31377,68424,78.7,69571,14.7,16288,35.4,19015,4.2,7804,1.2,2644,16.9,19450,22091,79680,12.8,38662,30.5,62352,31.9,104595,11.4,64756,11.4,111047,2.0,115598,92073,24369,77.9,27389,8.3,16175,1.3,N,1.6,N,0.0,N,10.1,11441,0.8,13021,15.7,12992,72.4,28221,31.9,31.9,24.1
707,"Jefferson County, Texas",95801,64895,76.1,67666,15.7,22681,29.5,18063,5.7,9359,1.3,3061,15.7,19046,58918,75500,16.9,41460,37.4,62405,26.1,105422,10.1,59375,8.3,127276,1.2,89719,254679,25267,59.0,30195,33.8,16888,0.3,N,3.9,27096,0.1,N,1.7,14716,1.2,25428,19.9,12695,41.3,37898,53.8,57.3,44.6
708,"Johnson County, Texas",54048,73321,82.5,71207,15.1,18707,32.7,20898,3.4,11328,1.2,4864,15.2,22590,41604,77575,12.0,40459,39.1,61591,32.4,100410,6.6,67214,7.3,123735,2.5,102582,163274,25468,91.4,26267,3.3,17383,0.7,N,0.8,26489,0.5,16914,1.2,22076,2.1,10932,20.6,17444,73.2,28457,23.2,22.7,18.1
709,"Kaufman County, Texas",36696,76602,82.6,76582,14.8,9702,29.2,18763,6.7,9755,1.5,4104,18.8,25582,28735,82733,11.7,47995,33.3,69647,31.7,102757,11.2,62444,8.7,125489,3.3,101264,118350,25813,83.5,26874,10.8,20472,0.3,36238,1.2,22369,0.0,N,2.4,13161,1.9,26215,20.5,16485,65.8,29594,34.1,32.7,27.1
710,"Liberty County, Texas",26204,65705,74.2,68850,10.5,N,32.3,18279,11.3,8899,2.5,2145,10.6,17370,18680,71223,N,N,N,N,N,N,N,N,N,N,N,N,81704,22789,85.0,22615,10.3,18204,0.5,44787,0.6,N,0.0,N,3.1,18696,0.6,N,22.7,10883,65.2,26442,41.8,43.3,26.5
711,"Lubbock County, Texas",111975,68557,82.8,66464,18.0,18771,24.9,17903,5.4,8744,1.4,2192,15.6,24154,70078,80022,10.2,48640,38.2,61483,30.9,111079,10.4,57500,7.1,117500,3.1,91295,303137,25830,81.8,27324,7.1,15516,1.3,15734,1.9,38852,0.3,N,5.1,20348,2.4,12881,35.0,15270,54.1,33930,38.4,41.5,32.8
712,"McLennan County, Texas",87163,67968,81.5,65241,15.5,22675,31.1,17349,3.7,8546,1.1,3023,17.3,22841,56901,77694,11.3,50766,34.8,59941,30.8,103456,12.6,64586,7.7,112382,2.8,87729,247934,24968,77.1,27599,14.7,16680,0.4,16893,1.6,17946,0.1,N,3.8,14954,2.3,13081,25.8,14530,56.5,32318,31.7,32.6,25.7
713,"Midland County, Texas",56178,98622,88.4,95757,15.1,43205,21.3,17280,4.7,7493,0.4,N,11.7,18345,38766,111952,7.5,71327,38.1,77128,35.5,164591,10.1,80578,7.5,126595,1.4,90689,162565,35666,85.6,36576,7.1,22537,0.2,N,2.1,47813,0.1,N,2.8,36787,2.2,31432,44.4,22874,46.1,49132,31.0,30.8,24.8
714,"Montgomery County, Texas",193637,104877,84.0,103984,21.7,31325,25.1,20566,4.2,11384,1.5,1966,14.6,26096,144802,121131,9.7,69920,40.8,105819,32.0,155473,8.1,86892,7.7,155461,1.8,141111,556203,37421,86.4,38255,5.5,31788,0.7,38148,2.8,53472,0.1,N,2.3,26427,2.4,13139,23.4,18828,67.2,43970,38.9,40.1,30.1
715,"Nacogdoches County, Texas",23080,54215,71.6,54468,15.5,N,28.1,18421,8.8,7852,1.8,N,18.0,22288,14520,69014,21.3,57355,30.0,48324,28.1,92057,10.9,80358,9.0,80751,0.7,58585,65806,20327,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.2,27.4,20.1
716,"Nueces County, Texas",129254,70642,80.0,72105,12.9,17776,29.8,17077,7.3,8492,1.3,1787,16.3,21071,87823,79775,13.8,44173,36.0,65451,25.7,104251,12.7,81647,7.1,110516,4.8,108398,361350,26251,90.3,26284,4.1,22654,0.4,20990,1.8,43174,0.1,N,1.6,24862,1.7,18206,63.4,21187,29.8,36749,30.1,30.2,23.1
717,"Orange County, Texas",32538,70748,74.6,73559,14.2,15536,31.9,20620,7.6,8056,2.1,2591,17.5,26636,24553,77104,16.2,N,39.4,N,25.9,N,10.9,N,7.2,N,0.3,N,84964,28027,88.3,29396,8.9,16645,0.5,N,1.4,28523,0.0,N,0.0,N,1.0,14981,7.2,24431,81.3,29967,39.4,40.2,34.6
718,"Parker County, Texas",44098,83981,78.1,86883,23.4,14352,32.0,20326,4.3,8071,2.5,3862,20.2,22414,32871,94105,13.7,47404,32.1,64894,37.1,129779,5.6,105266,8.6,117130,2.9,92708,129441,29582,93.9,30095,1.5,N,0.8,13351,0.6,43925,0.1,N,1.8,23308,1.4,13810,11.8,17636,84.0,31583,32.3,35.3,25.3
719,"Potter County, Texas",42179,60695,79.2,62889,12.9,15168,27.1,15986,7.2,7936,1.2,3352,14.0,24203,28080,69806,12.7,32577,40.8,56275,30.8,92782,7.4,54566,4.6,151662,3.7,83833,120832,22033,78.5,23411,10.1,14922,0.2,N,4.7,24496,0.2,N,2.4,18774,3.9,13358,37.9,13154,44.8,31235,44.3,49.5,32.9
720,"Randall County, Texas",49728,87930,84.4,86236,21.6,19906,27.9,20231,3.8,11179,0.8,N,13.5,23189,34741,104385,9.3,62999,28.9,84892,43.5,126832,8.7,85036,8.4,121246,1.2,103033,132501,34250,89.2,35340,2.7,15165,0.8,22847,1.7,47738,0.1,N,3.2,19848,2.4,29598,21.0,19245,72.3,39351,30.7,31.0,24.0
721,"Rockwall County, Texas",31620,107103,81.2,114099,22.9,12264,27.2,20063,2.8,9024,0.4,N,17.7,27642,24631,121056,N,N,N,N,N,N,N,N,N,N,N,N,93978,36876,86.0,39728,6.3,21425,0.1,N,2.7,20213,0.0,N,1.7,25630,3.3,11783,17.1,22012,72.1,43012,30.6,29.2,22.7
722,"San Patricio County, Texas",23761,64758,80.0,62702,13.7,9353,32.1,16807,3.9,10180,0.7,N,17.1,23775,17478,71781,13.4,39616,42.1,55833,25.5,103000,11.0,82418,5.3,105634,2.8,75862,67655,23521,93.8,23897,1.6,24373,0.4,N,0.9,16965,0.0,N,1.2,26514,2.1,9565,57.1,18909,39.0,31000,28.1,30.8,22.8
723,"Smith County, Texas",75792,68343,75.4,68021,23.4,14371,35.4,18991,6.0,8378,3.7,3300,17.3,24231,52685,78652,17.2,49779,33.3,67592,31.8,102486,7.6,60991,7.6,108651,2.5,83585,225290,24837,75.8,27586,17.3,15216,0.5,24943,1.7,32614,0.1,N,2.9,15737,1.7,8446,19.2,13808,60.1,31133,35.7,38.2,30.8
724,"Tarrant County, Texas",696887,84829,84.9,84309,18.1,18800,22.8,19313,4.2,9349,1.2,2561,14.5,26352,492600,96136,10.4,50371,34.3,72100,31.9,127912,11.3,80101,8.6,149646,3.6,97955,2016872,30264,67.8,33951,15.9,22615,0.5,36443,5.4,33490,0.1,18039,7.0,15406,3.3,17104,28.4,16975,47.7,40946,30.8,31.5,23.7
725,"Taylor County, Texas",48607,63267,79.4,61934,15.6,15200,29.8,16968,9.3,11473,1.8,3054,19.9,19801,31402,74243,12.9,38755,35.0,72933,36.1,83094,8.2,63285,5.9,109797,1.9,108045,136535,23753,77.5,26141,7.8,15580,0.8,23245,2.4,22611,0.0,N,8.5,13790,2.8,12157,24.0,14310,63.9,28479,31.4,31.0,24.6
726,"Tom Green County, Texas",43497,65974,81.9,62230,17.4,14953,28.3,17479,4.8,7534,3.9,2574,19.0,29608,27376,78866,13.0,47311,39.9,70903,30.7,105785,9.5,54594,4.8,115118,2.1,60134,118386,27375,89.3,26126,5.0,18358,0.4,24911,1.1,N,0.0,N,2.5,29723,1.6,17979,39.3,24755,53.9,30339,31.8,34.3,24.5
727,"Travis County, Texas",457810,100262,87.8,98604,22.0,23161,17.0,18912,2.6,8569,0.9,3183,11.4,35034,259411,124340,7.4,76792,33.1,97578,38.4,157895,10.5,94403,7.1,153068,3.4,141516,1199323,39961,74.5,43814,8.3,26277,0.4,82102,6.4,39822,0.1,18021,6.8,19791,3.5,25348,33.8,22926,49.3,54181,32.0,34.3,27.4
728,"Victoria County, Texas",32249,85178,80.7,80865,15.9,56869,30.6,18634,6.4,8180,0.7,N,14.8,22883,21609,88433,13.8,50270,33.5,85687,30.4,118147,12.4,52902,8.3,104305,1.7,103248,92467,31277,87.4,32026,6.7,23652,0.4,N,1.5,73807,0.2,N,2.9,12013,0.9,14350,46.3,22147,45.2,40542,33.4,34.3,27.2
729,"Walker County, Texas",21209,55950,73.6,59101,12.5,6421,22.6,22201,2.0,12656,0.2,N,21.4,27127,12610,75057,N,N,N,N,N,N,N,N,N,N,N,N,71484,17671,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,47.4,59.5,27.2
730,"Webb County, Texas",73483,53833,79.9,56121,9.5,18322,25.3,12333,6.8,8669,1.0,3737,10.5,23123,58624,56606,14.6,16167,42.2,36781,18.1,101168,11.6,62883,7.0,104707,6.5,88389,271193,15686,95.4,15550,0.4,13182,0.1,N,0.3,N,0.0,N,3.0,17694,0.7,5935,N,N,N,N,34.9,37.1,25.7
731,"Wichita County, Texas",49486,58193,78.1,57556,17.3,11269,31.6,17644,5.7,9289,1.7,N,17.3,21260,32478,69220,13.5,34106,39.8,57804,30.6,91205,7.7,86613,5.0,94432,3.4,68655,131838,23102,78.9,25885,9.6,12400,1.1,13973,2.8,16055,0.1,N,2.9,10828,4.5,10927,18.9,13572,65.7,27984,37.7,35.2,28.8
732,"Williamson County, Texas",173125,98793,85.1,96893,22.0,15045,22.9,20870,2.6,11732,1.1,2080,18.7,33153,127064,108928,11.1,60340,29.0,89449,41.8,133729,7.8,96033,8.4,131738,1.8,96308,528718,34747,79.8,36815,6.0,26110,0.3,17677,6.7,35170,0.0,N,2.8,26823,4.4,14753,24.1,24167,60.3,40572,27.7,27.3,22.3
733,"Cache County, Utah",37151,73588,85.8,67962,18.3,33901,19.4,20017,2.1,10064,1.7,2060,15.0,25702,28032,79684,11.1,58474,29.3,63913,37.7,75143,6.1,127478,14.8,118482,1.0,82241,122753,22891,89.7,24001,0.8,7712,0.3,39471,2.6,16512,0.4,6189,4.3,14775,1.9,4844,10.5,12208,83.1,25025,30.8,27.7,21.2
734,"Davis County, Utah",103665,93257,85.8,89567,23.4,20466,23.3,19955,2.8,8354,1.8,7211,19.5,26722,84113,100703,9.9,63814,28.8,95647,36.0,103060,8.3,100851,14.7,125884,2.3,125197,342281,29064,88.9,30121,1.4,22525,0.5,21278,1.8,28318,0.8,36685,3.3,16961,3.3,15085,9.4,20129,84.0,30568,25.1,25.3,18.5
735,"Salt Lake County, Utah",366239,89138,85.9,87384,20.1,18117,23.4,19879,3.8,9731,1.3,2702,13.2,31977,259368,99870,8.7,55020,29.9,78769,32.9,118621,11.5,92842,12.7,132000,4.4,117166,1121354,30302,78.7,33773,1.7,15579,0.6,19009,4.0,28494,1.5,14681,10.2,14478,3.3,15577,18.1,17125,71.7,34999,28.8,29.7,21.7
736,"Utah County, Utah",157803,84827,88.5,81839,19.7,16790,19.0,20811,3.4,9573,1.3,3299,13.4,28111,128617,91543,8.4,60413,29.7,80761,35.3,88809,9.8,102821,12.3,123570,4.5,130564,592299,23268,92.6,23700,0.6,27436,0.7,10556,1.4,21874,0.9,20283,0.9,17768,2.9,15085,11.5,14153,82.8,24829,29.2,26.5,22.5
737,"Washington County, Utah",51774,74494,68.2,73735,28.5,19225,42.1,20918,5.1,11646,1.2,1942,27.5,26954,39468,82993,24.1,61108,33.1,81580,28.3,84552,6.3,87140,6.4,161307,1.9,86065,160245,25692,89.4,26985,0.4,N,1.3,13661,0.9,19952,1.0,7652,4.5,16297,2.4,14922,10.1,14944,84.8,27800,33.4,33.7,26.1
738,"Weber County, Utah",79501,76150,80.3,75721,17.2,18239,25.6,17028,5.4,9571,1.9,3570,20.4,28014,59190,83739,13.4,53594,28.2,68129,33.0,89412,9.4,86753,11.3,123717,4.7,121278,247560,25710,90.3,26552,1.0,17810,0.7,17385,1.2,15877,0.1,N,3.7,19189,2.9,17501,18.0,18205,76.5,28137,28.4,28.8,22.1
739,"Chittenden County, Vermont",64867,89763,82.1,88000,29.5,21137,27.7,19564,4.2,10279,3.0,2621,18.8,24317,37480,114238,10.5,65663,27.4,91924,44.0,137559,8.3,70271,7.8,159734,2.0,166482,161531,36011,90.4,37235,2.8,11801,0.3,15443,3.7,40035,0.0,N,0.6,22594,2.2,16477,2.3,23432,88.8,37390,25.9,23.5,21.2
740,"Albemarle County, Virginia",40318,100166,78.6,99485,33.0,25231,31.7,21085,1.5,8857,0.8,N,19.2,28612,23652,122399,N,N,N,N,N,N,N,N,N,N,N,N,106878,39249,81.0,43006,9.8,24826,0.2,N,5.0,23961,0.1,N,1.5,25591,2.4,14694,5.7,17782,77.1,44342,39.7,41.4,32.3
741,"Arlington County, Virginia",103479,143507,88.6,144179,35.6,16039,12.2,17748,1.7,9633,1.2,3453,13.1,50691,50440,184545,6.8,98428,26.0,142306,50.9,215595,7.0,137418,6.9,270179,2.4,119307,230050,65395,70.7,76246,8.6,36666,0.4,50296,10.2,51099,0.2,30682,5.9,17765,3.9,44659,15.4,36413,62.2,80612,23.8,24.9,19.8
742,"Augusta County, Virginia",29664,68377,75.3,66840,27.8,10263,36.4,19023,4.4,10148,1.4,N,26.7,25453,19808,78543,17.0,53525,32.9,64204,31.8,94482,9.3,65765,8.0,140266,0.9,98484,74997,28243,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33.2,31.8,24.2
743,"Bedford County, Virginia",29566,75982,72.6,78229,23.7,15746,42.0,20861,4.1,9372,0.8,N,23.9,20707,21453,89759,19.7,43464,25.4,68637,33.8,119856,9.6,77691,9.7,134983,1.6,156364,77960,30089,88.6,31859,7.3,19477,0.0,N,1.2,N,0.1,N,1.2,6073,1.6,N,2.1,N,87.7,31356,32.1,30.0,24.9
744,"Chesterfield County, Virginia",122221,92479,83.5,87078,23.1,22012,28.9,20649,3.6,10563,0.7,2411,23.4,29344,88609,104186,10.2,68546,30.2,85675,35.3,124324,12.7,90338,9.3,153038,2.3,75958,339009,34363,67.7,38461,22.5,26243,0.2,19108,3.9,31293,0.1,87705,2.5,19422,3.2,19905,8.4,18986,62.2,40301,33.4,33.7,26.0
745,"Fairfax County, Virginia",395164,147335,87.2,142023,34.5,20223,21.3,20491,2.3,7948,0.8,2780,19.9,51650,282366,165701,8.4,90900,28.9,140124,38.8,198329,9.1,130174,11.1,206153,3.8,159304,1138652,52435,61.9,61448,9.7,38513,0.2,46176,19.1,44072,0.1,N,4.7,18918,4.2,28663,16.1,26685,51.2,67944,28.3,28.6,22.1
746,"Fauquier County, Virginia",24777,121672,80.7,119525,28.7,16336,34.0,20683,3.2,12397,0.7,N,30.3,35790,17895,142120,10.2,74827,34.7,120904,32.3,156125,5.5,146207,11.7,200929,5.5,189032,69069,44213,86.5,46563,7.2,31845,0.5,42751,1.9,36471,0.0,N,0.5,N,3.5,20935,7.8,21227,80.6,48245,39.3,41.4,33.3
747,"Frederick County, Virginia",30760,89243,79.8,86523,26.3,21302,33.4,20438,3.1,8746,0.9,N,25.6,22655,23083,99336,14.8,69828,31.2,87312,34.2,117351,7.3,87582,10.4,126220,2.1,100635,84421,33766,90.7,35218,3.2,21450,0.5,N,1.4,32753,0.0,N,1.0,34837,3.2,8099,8.0,19241,84.2,36437,28.8,27.9,21.5
748,"Hanover County, Virginia",37931,101533,80.4,101782,28.3,14050,35.6,22342,3.3,8260,0.8,873,24.6,26071,28323,116035,11.9,67945,27.5,104977,42.1,130204,6.6,88468,9.3,171257,2.7,96189,104392,38100,86.7,39381,8.6,32826,0.3,7260,1.0,31417,0.1,N,0.2,N,3.1,20348,2.9,34429,84.4,39508,40.4,39.0,32.9
749,"Henrico County, Virginia",127930,93035,82.7,91241,24.0,22296,28.8,18957,3.3,9457,1.3,2499,20.4,25503,79876,118030,10.7,62832,32.5,97495,35.2,149185,10.0,85976,8.9,181101,2.8,87379,326501,38087,57.7,42996,29.4,29920,0.2,17799,8.3,45077,0.1,33215,1.2,14450,3.2,16379,5.3,20265,54.0,44446,32.6,32.3,27.3
750,"James City County, Virginia",28480,109488,73.4,98430,39.0,17059,40.2,22948,3.9,8285,0.3,N,34.0,53100,18986,129791,N,N,N,N,N,N,N,N,N,N,N,N,74404,43786,78.9,48657,12.8,22263,0.0,N,2.2,61628,0.0,N,1.0,N,5.0,14261,5.4,49084,75.3,47641,29.1,31.4,23.3
