Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Brazos County, Texas",4.1,3.6,64.6,12.6,6.8,3.7,18.6,19.2,89.5,39.8,38.0,96.3,35.9,43.3,37.0,85.5,35.8,31.6,97.1,52.2,46.0,84.2,N,N,N,69,16.8,N,10.8,19.5,16.7,9.3,7.9,86.4,18.0,2.0,9.2,3.7,75.9,6.4,3.7,56.3,36.0,36.5
"Cameron County, Texas",23.8,23.8,33.1,3.1,22.0,12.5,25.9,11.9,65.5,17.1,16.9,84.4,17.6,19.1,16.0,47.9,17.8,11.3,90.4,40.2,29.4,N,N,N,N,53.3,0,33.6,12.9,15,22.7,15.3,10.1,74.1,29.5,3.4,11.8,3.9,95,0.8,0.7,9.3,38.8,39.9
"Collin County, Texas",12.4,10.5,37.8,17.8,3.5,3.1,15.8,34.0,93.4,54.3,49.3,94.6,49.4,53.7,50.4,89.3,52.6,30.5,97.1,56.1,50.3,93,83.3,70.6,N,82.1,18.7,48.4,22.5,23.3,4.9,4.9,3.8,88.5,18.2,0.7,7.8,2.5,70.4,14.1,3.2,58.3,33.0,34.5
"Comal County, Texas",20.6,18.1,43.0,12.8,2.6,2.7,26.7,25.2,94.7,37.5,35.5,94.9,23.1,37.6,37.9,94.1,57.1,30.6,96.7,42.4,40.0,N,N,N,N,77.8,8.3,N,16.3,16.1,8.0,6.7,3.9,77.2,35.4,1.6,6.9,1.3,89.4,1.1,1.5,68.5,22.1,20.0
"Coryell County, Texas",8.3,11.8,34.9,1.6,6.5,6.9,29.9,10.4,86.6,13.1,18.4,85.9,9.1,21.0,15.4,87.3,19.9,19.3,91.3,16.7,21.2,80.8,N,N,N,N,N,6.5,10.3,17.6,14.3,7.5,7.1,80.6,25.7,0.8,3.9,3.2,72.1,2.2,12,59.1,21.7,22.2
"Dallas County, Texas",16.1,14.4,42.7,12.0,11.2,9.1,21.7,19.4,79.8,31.0,29.9,84.8,33.7,34.7,28.9,77.9,37.3,24.1,94.2,51.5,46.5,88.4,60.1,52.4,N,52.4,9.9,38.7,9.8,10.6,11.7,10.1,4.5,85.9,20.9,1.4,12.5,5.2,61.8,6.1,3,29.7,37.2,39.0
"Denton County, Texas",10.9,8.3,56.2,9.3,3.6,3.9,18.2,31.2,92.5,45.7,43.5,95.3,45.5,48.1,41.3,88.4,43.6,30.3,96.6,49.7,45.3,90.6,66.9,63.9,N,62.1,20.4,52.9,26,26,7.5,4.4,4.1,89.0,19.3,1.0,9.4,3.8,74.3,7.9,4,60.1,35.3,34.6
"Ector County, Texas",9.4,5.6,51.0,4.3,8.9,13.0,29.1,9.5,78.1,13.8,16.9,83.5,14.8,22.9,12.0,71.8,17.3,16.9,88.8,23.8,26.0,93.3,N,N,N,33.7,3.4,N,6.7,9.1,11.8,5.6,2.0,85.8,22.6,2.4,12.8,5.5,85.3,1.1,2.5,33.5,28.0,30.2
"Ellis County, Texas",16.3,12.2,42.5,6.5,5.2,10.1,26.4,13.9,84.7,20.4,23.1,83.1,15.8,25.4,26.1,78.8,23.2,10.6,90.1,25.8,25.5,90.9,N,N,N,70.8,9.3,9.1,3.4,8.6,7.2,6.9,2.2,85.2,28.5,1.1,10.5,3.3,83.8,0.8,3.5,61.8,24.9,24.9
"El Paso County, Texas",11.8,12.3,55.4,5.2,15.0,9.8,22.6,14.5,75.2,22.7,21.4,91.3,21.1,30.1,20.2,54.3,20.3,10.0,94.2,35.4,38.4,91.6,55.8,31.4,N,66.8,15.7,40.3,19.3,18.5,15.3,10.7,6.8,80.5,26.9,1.6,12.3,5,80.5,1.3,2.5,12.3,31.7,34.4
"Fort Bend County, Texas",12.9,14.6,53.1,14.4,4.6,4.4,18.9,28.3,91.0,46.7,43.4,94.2,43.3,51.0,44.3,81.3,47.4,26.2,96.3,54.9,49.3,94.9,68.8,61.6,N,66.1,11.1,45.1,22.3,22.9,10.0,6.0,3.6,88.0,20.5,1.2,10.3,3.9,52.5,19.8,2.1,34,32.7,33.8
"Galveston County, Texas",14.8,12.1,47.4,9.2,3.9,6.6,25.5,16.8,89.5,27.7,30.5,92.8,27.9,35.1,29.5,85.6,28.1,19.8,93.8,34.1,33.6,83.1,51.6,51.7,N,49.5,10,N,16,19.3,10.1,7.0,4.4,80.6,28.6,0.9,11.3,3.7,78.4,3.5,1.9,57.8,37.1,37.6
"Grayson County, Texas",14.4,13.3,35.8,5.5,2.3,8.3,29.2,13.4,89.4,18.9,19.9,84.3,20.2,15.9,21.0,88.4,24.3,18.0,91.6,20.0,22.3,95.3,N,N,N,N,N,N,9.4,13.1,7.9,8.9,9.1,74.2,34.2,1.6,8.5,4.2,86.6,1.4,4.2,76.1,45.3,44.0
"Gregg County, Texas",9.3,2.1,62.4,4.4,7.7,12.4,26.6,11.2,79.9,19.9,22.7,82.5,7.2,24.3,24.9,79.6,35.4,21.5,89.0,27.3,27.4,81,N,N,N,N,N,N,2.5,2.5,6.7,11.1,8.9,79.0,31.3,1.4,11.9,2.2,74.5,1.5,1.8,57.7,27.3,25.2
"Guadalupe County, Texas",13.5,5.7,35.7,8.9,6.2,5.6,31.6,18.2,88.2,28.3,26.6,95.7,25.3,28.9,32.9,75.0,25.0,12.5,93.6,37.5,30.1,96.4,N,N,N,74.7,4.6,N,10.9,16.7,8.0,1.6,1.4,80.4,31.2,0.8,6.8,3,68.6,2,3,50.9,25.3,25.8
"Harris County, Texas",17.3,15.1,43.5,9.7,10.5,7.9,23.0,19.8,81.6,31.0,31.1,87.5,30.4,35.6,29.6,76.5,37.2,24.8,95.2,50.2,45.2,88.6,52.1,47.6,N,59.6,9.7,35.1,11.8,14.4,12.8,7.3,5.5,86.3,20.0,1.5,12.6,4.2,62.8,6.9,2.3,30.2,35.6,37.7
"Harrison County, Texas",21.1,12.2,46.6,6.0,5.3,11.1,27.2,9.5,83.6,13.9,19.3,80.9,7.0,16.7,18.7,81.9,24.7,20.0,87.6,18.3,21.6,69.9,N,N,N,N,N,N,2.7,3.6,13.7,5.3,3.0,78.4,31.2,1.4,N,N,N,N,N,N,36.7,36.1
"Hays County, Texas",7.9,1.8,59.2,6.8,4.2,6.3,20.6,19.0,89.5,33.1,39.1,89.9,26.3,45.3,36.7,86.4,46.1,33.5,97.0,42.9,47.7,96.2,N,N,N,N,N,N,14.8,23.4,4.5,9.1,1.4,86.7,21.8,0.7,7.4,4.5,90.1,1.6,2.1,54.5,38.5,37.5
"Henderson County, Texas",19.2,16.8,61.7,7.2,6.0,9.5,33.6,11.7,84.5,17.5,19.4,86.7,15.8,20.1,22.6,81.0,20.2,18.0,87.9,19.1,21.4,72.6,N,N,N,N,N,N,0.8,0.5,15.9,5.2,4.0,68.4,44.1,1.4,6.4,3.5,90,0.1,2,78.6,30.6,30.8
"Hidalgo County, Texas",19.0,17.8,44.8,6.7,22.6,12.1,23.1,13.2,65.3,17.9,18.6,82.4,16.4,19.9,20.1,47.6,15.6,14.0,92.4,27.6,30.7,N,57.7,67.3,N,51.5,16.2,18.8,16.3,16.8,16.4,11.7,6.8,79.7,28.0,1.7,11.6,4.7,84.4,1.1,1.5,6.6,32.7,34.6
"Hunt County, Texas",14.1,16.8,43.7,8.5,5.7,9.3,30.8,9.6,85.1,16.6,23.7,91.3,19.1,33.7,21.3,79.4,19.7,19.6,88.5,16.8,25.5,72.1,N,N,N,28.2,3.3,N,13.4,12.4,12.4,8.5,6.4,78.7,35.4,1.2,11.4,2,77.9,1.6,0.8,72.4,31.9,31.9
"Jefferson County, Texas",15.0,12.3,41.4,8.4,6.3,8.1,31.4,11.4,85.6,16.9,20.2,89.2,19.6,19.2,20.6,76.7,27.0,18.5,93.5,25.2,26.6,83.5,35.4,43.9,N,54.7,7.8,N,6.9,7.7,13.1,7.7,5.4,76.1,29.5,1.3,10.1,1.2,59,3.9,1.2,41.3,53.8,57.3
"Johnson County, Texas",22.3,25.9,31.6,4.8,4.7,7.6,37.1,14.6,87.7,19.7,19.4,94.5,10.3,22.4,14.0,82.8,25.4,16.6,90.9,23.5,19.7,84.2,N,N,N,N,N,N,5.3,14.3,8.2,3.7,4.4,82.5,32.7,1.2,6.6,2.5,91.4,0.8,2.1,73.2,23.2,22.7
"Kaufman County, Texas",14.2,4.0,46.0,9.4,6.6,7.0,36.1,13.0,86.5,19.4,19.3,95.8,10.9,20.0,16.4,79.4,23.5,16.5,89.9,22.5,19.9,89.8,N,N,N,N,N,N,6.4,13.9,6.9,7.5,1.6,82.6,29.2,1.5,11.2,3.3,83.5,1.2,1.9,65.8,34.1,32.7
"Liberty County, Texas",17.7,6.9,30.8,5.8,9.8,16.3,33.8,7.2,73.8,9.6,8.6,81.5,10.7,11.8,8.8,73.9,12.1,7.4,81.1,13.4,10.8,87.7,N,N,N,N,N,N,0,1.2,5.4,5.2,2.9,74.2,32.3,2.5,N,N,85,0.6,0.6,65.2,41.8,43.3
"Lubbock County, Texas",7.7,8.1,59.6,8.9,5.3,9.9,23.3,19.1,84.8,30.6,31.2,89.1,34.7,35.4,30.2,76.0,31.2,22.7,94.0,40.1,42.3,83,N,N,N,64.3,1.6,36.7,11.6,9.6,10.3,6.5,3.6,82.8,24.9,1.4,10.4,3.1,81.8,1.9,2.4,54.1,38.4,41.5
"McLennan County, Texas",8.4,7.4,61.1,9.7,7.7,9.3,27.1,14.1,83.1,22.6,21.1,92.4,25.9,25.2,21.9,78.8,26.0,15.7,92.9,31.6,29.2,87.2,30.7,41.7,N,55.1,2.7,26.8,5,4.6,7.8,4.4,2.8,81.5,31.1,1.1,12.6,2.8,77.1,1.6,2.3,56.5,31.7,32.6
"Midland County, Texas",16.5,15.8,50.0,5.5,5.3,8.1,29.9,19.6,86.5,27.6,25.4,94.6,31.4,24.4,24.9,80.5,34.2,20.1,95.5,40.9,35.1,87.3,N,N,N,62.9,15.9,N,11.4,9.2,4.1,4.0,0.9,88.4,21.3,0.4,10.1,1.4,85.6,2.1,2.2,46.1,31.0,30.8
"Montgomery County, Texas",23.9,21.6,31.8,8.7,4.3,9.2,23.5,22.4,86.5,35.7,31.3,88.6,26.1,28.5,33.9,83.1,42.7,23.7,91.6,37.2,32.4,98.1,81.2,45.7,N,69.9,9.8,41.7,18.9,24.4,12.4,5.2,2.6,84.0,25.1,1.5,8.1,1.8,86.4,2.8,2.4,67.2,38.9,40.1
"Nacogdoches County, Texas",5.8,4.1,73.8,3.8,6.4,15.0,25.9,21.6,78.6,28.1,23.6,83.8,32.5,23.5,24.6,79.3,39.2,22.4,88.2,35.1,30.9,76.1,N,N,N,N,N,N,16,0,5.9,12.9,3.3,71.6,28.1,1.8,10.9,0.7,N,N,N,N,25.2,27.4
"Nueces County, Texas",9.5,10.2,50.2,7.8,6.8,9.9,27.6,15.1,83.3,21.9,22.2,87.7,19.9,25.3,21.1,75.4,22.6,18.8,92.9,36.8,33.1,91.5,41.4,50.6,N,71,10.1,13.7,12.2,15.6,8.0,6.1,4.5,80.0,29.8,1.3,12.7,4.8,90.3,1.8,1.7,29.8,30.1,30.2
"Orange County, Texas",20.2,11.0,49.0,4.9,4.2,7.7,37.9,10.9,88.1,14.0,16.8,97.3,6.9,16.2,15.2,80.4,13.7,13.3,89.8,14.6,17.0,84,N,N,N,N,N,N,11.6,10.3,11.4,5.4,7.1,74.6,31.9,2.1,10.9,0.3,88.3,1.4,1,81.3,39.4,40.2
"Parker County, Texas",9.4,13.6,31.9,7.4,2.9,7.7,31.4,13.4,89.5,20.6,23.0,90.1,13.9,24.3,24.9,82.8,14.0,11.1,90.6,22.0,24.3,N,N,N,N,N,N,N,3.3,12.2,5.4,6.0,5.8,78.1,32.0,2.5,5.6,2.9,93.9,0.6,1.4,84,32.3,35.3
"Potter County, Texas",17.5,10.8,53.7,3.5,11.5,14.0,28.0,6.5,74.5,11.1,18.6,80.5,7.3,15.3,20.4,71.2,23.5,17.3,89.6,18.6,27.1,74.9,15.3,28.8,N,73.5,5.7,3.4,2,4.9,19.0,14.2,2.1,79.2,27.1,1.2,7.4,3.7,78.5,4.7,3.9,44.8,44.3,49.5
"Randall County, Texas",7.8,4.6,50.4,8.1,2.8,7.1,17.2,20.2,90.1,30.2,32.9,91.7,24.1,28.8,35.3,86.4,37.2,29.8,93.5,34.7,36.3,N,N,N,N,N,N,N,8.5,15.3,7.8,6.2,1.6,84.4,27.9,0.8,8.7,1.2,89.2,1.7,2.4,72.3,30.7,31.0
"Rockwall County, Texas",7.7,6.1,43.1,16.1,2.8,3.6,22.4,28.1,93.7,43.6,37.3,95.5,50.7,36.4,33.2,97.2,43.3,36.1,96.5,48.4,39.9,87.1,56.2,26.4,N,N,N,N,23.3,30.6,2.3,4.4,5.7,81.2,27.2,0.4,N,N,86,2.7,3.3,72.1,30.6,29.2
"San Patricio County, Texas",19.3,10.3,40.9,4.3,8.0,10.2,27.6,8.1,81.8,11.7,17.4,82.8,9.0,18.5,13.1,70.4,23.2,14.9,94.1,22.2,25.2,N,N,N,N,N,N,N,2.6,11.4,1.8,6.8,4.9,80.0,32.1,0.7,11,2.8,93.8,0.9,2.1,39,28.1,30.8
"Smith County, Texas",18.0,15.5,42.8,4.5,6.1,8.2,22.8,16.5,85.7,24.9,24.8,88.5,19.1,29.5,22.4,86.2,37.5,23.1,93.2,30.9,28.6,87.9,N,N,N,46.5,5.3,N,6.2,15.8,11.2,12.0,4.1,75.4,35.4,3.7,7.6,2.5,75.8,1.7,1.7,60.1,35.7,38.2
"Tarrant County, Texas",14.5,13.2,43.5,10.3,6.6,7.4,24.2,19.8,86.0,30.7,30.7,90.1,27.2,35.2,29.5,82.5,37.8,22.7,94.6,40.6,38.4,89.9,45.3,38.5,N,50.9,5.8,30.6,11.6,14.4,10.1,6.2,4.6,84.9,22.8,1.2,11.3,3.6,67.8,5.4,3.3,47.7,30.8,31.5
"Taylor County, Texas",12.7,11.2,54.5,8.4,4.9,8.0,32.8,13.9,87.1,22.4,22.7,95.4,17.7,20.6,24.3,83.4,27.5,21.8,90.7,27.4,25.9,89.5,17.7,17.4,N,69.7,10.6,N,8.1,15.6,22.8,10.3,7.6,79.4,29.8,1.8,8.2,1.9,77.5,2.4,2.8,63.9,31.4,31.0
"Tom Green County, Texas",5.9,2.5,69.5,3.7,3.8,10.9,27.8,15.1,85.2,24.3,25.6,95.9,18.5,32.2,25.3,81.3,39.1,20.0,92.9,31.9,31.1,86.9,N,N,N,56.2,4.3,N,11.3,17.3,12.4,3.9,3.9,81.9,28.3,3.9,9.5,2.1,89.3,1.1,1.6,53.9,31.8,34.3
"Travis County, Texas",9.5,8.9,49.5,17.8,5.6,4.6,17.1,29.6,89.8,46.6,47.8,93.0,47.0,53.1,45.3,85.9,53.5,36.3,97.3,60.9,60.9,91.2,64.7,60.1,N,58.3,13,43.3,20.4,25.4,8.4,6.2,5.0,87.8,17.0,0.9,10.5,3.4,74.5,6.4,3.5,49.3,32.0,34.3
"Victoria County, Texas",20.7,11.8,49.1,2.8,7.4,9.8,29.5,13.3,82.7,20.1,18.3,88.7,24.0,21.7,14.5,82.0,21.1,16.4,94.1,31.4,26.9,92.7,N,N,N,N,N,N,5.7,8.7,11.7,2.2,8.1,80.7,30.6,0.7,12.4,1.7,87.4,1.5,0.9,45.2,33.4,34.3
"Walker County, Texas",6.2,4.6,76.2,7.5,5.4,4.0,28.5,10.4,90.6,15.3,31.0,97.3,11.8,19.2,35.6,95.6,37.0,29.3,94.1,22.1,36.5,88,N,N,N,N,N,N,5.7,5.4,12.6,10.9,3.4,73.6,22.6,0.2,N,N,N,N,N,N,47.4,59.5
"Webb County, Texas",18.6,19.7,40.6,3.2,20.3,12.8,29.7,12.6,66.9,17.2,17.2,82.4,12.9,16.6,18.4,43.0,17.8,12.5,92.6,44.6,57.1,N,N,N,N,80,23.8,N,15.2,15.4,19.9,8.5,8.8,79.9,25.3,1.0,11.6,6.5,95.4,0.3,0.7,N,34.9,37.1
"Wichita County, Texas",8.2,11.5,47.9,2.7,5.9,8.0,25.2,14.1,86.1,22.0,25.6,93.4,19.1,25.3,24.9,77.4,30.2,22.3,89.9,26.3,26.1,69.7,69.5,45.9,N,N,N,N,2.6,21.9,10.9,4.8,5.2,78.1,31.6,1.7,7.7,3.4,78.9,2.8,4.5,65.7,37.7,35.2
"Williamson County, Texas",14.9,18.5,42.9,12.1,2.6,3.7,21.3,29.4,93.7,42.5,38.8,94.9,40.5,41.9,37.7,89.3,46.1,27.4,97.3,44.9,40.7,93.7,72.2,68,N,85,26.1,36.6,29.2,23.6,6.7,4.4,3.1,85.1,22.9,1.1,7.8,1.8,79.8,6.7,4.4,60.3,27.7,27.3
"Cache County, Utah",10.9,10.5,63.6,7.9,3.9,4.8,19.8,28.7,91.4,43.5,33.7,96.5,41.3,30.3,31.7,93.5,50.4,33.2,97.5,47.5,35.8,N,N,N,N,N,N,N,15.3,22.7,9.7,8.0,6.4,85.8,19.4,1.7,6.1,1,89.7,2.6,1.9,83.1,30.8,27.7
"Davis County, Utah",11.5,8.5,49.5,7.8,1.0,3.1,22.2,23.6,96.0,40.2,35.2,97.1,38.5,45.3,29.1,92.4,48.1,27.0,97.2,42.4,37.2,N,54,27.2,N,86.5,6.4,44.4,17.2,16.4,4.0,4.5,3.6,85.8,23.3,1.8,8.3,2.3,88.9,1.8,3.3,84,25.1,25.3
"Salt Lake County, Utah",14.0,12.0,46.8,8.3,3.9,5.6,23.5,20.6,90.5,35.0,32.5,93.3,32.7,38.5,30.0,88.9,41.5,24.5,95.2,39.9,35.2,86.2,51.5,49.5,91.2,53.4,7,26.1,11.8,15.7,6.8,6.4,5.2,85.9,23.4,1.3,11.5,4.4,78.7,4,3.3,71.7,28.8,29.7
"Utah County, Utah",6.8,5.9,61.3,6.7,1.7,2.9,17.2,25.3,95.4,41.9,35.5,96.5,36.5,42.4,31.8,93.4,49.9,28.0,97.6,44.7,37.5,N,85.9,54,90.8,48.8,7.1,58.6,17.9,13.9,9.9,6.9,4.2,88.5,19.0,1.3,9.8,4.5,92.6,1.4,2.9,82.8,29.2,26.5
"Washington County, Utah",12.8,11.3,63.2,1.1,3.6,2.6,21.7,14.9,93.9,28.5,28.0,98.6,11.7,31.4,22.3,94.7,38.7,25.7,95.6,29.5,29.2,N,N,N,N,N,N,N,29.6,14.4,11.5,11.6,3.1,68.2,42.1,1.2,6.3,1.9,89.4,0.9,2.4,84.8,33.4,33.7
"Weber County, Utah",13.6,14.0,56.6,3.6,2.8,5.4,29.6,15.2,91.8,24.3,20.3,94.0,20.3,27.3,18.0,87.8,29.2,12.5,94.5,28.3,22.1,86.9,38.6,39.1,N,75.6,4.6,N,3.6,6.5,13.1,7.9,6.0,80.3,25.6,1.9,9.4,4.7,90.3,1.2,2.9,76.5,28.4,28.8
"Chittenden County, Vermont",4.8,1.5,54.3,18.4,1.8,2.0,20.2,29.6,96.3,49.6,51.1,98.0,54.6,62.6,48.2,95.2,50.7,37.3,97.3,49.0,52.3,N,64.5,38.1,N,N,N,N,N,N,8.2,5.0,5.0,82.1,27.7,3.0,8.3,2,90.4,3.7,2.2,88.8,25.9,23.5
"Albemarle County, Virginia",8.1,9.1,52.4,15.0,3.5,3.7,17.1,26.3,92.8,52.1,52.9,94.7,37.5,55.5,57.2,92.6,55.6,43.0,94.9,55.9,58.0,88.2,N,N,N,N,N,N,25.5,34,5.8,10.3,4.6,78.6,31.7,0.8,N,N,81,5,2.4,77.1,39.7,41.4
"Arlington County, Virginia",13.1,12.5,23.0,49.0,4.5,2.6,7.8,33.1,93.0,73.8,74.8,97.8,79.4,86.2,68.5,86.1,72.7,50.2,99.3,86.1,86.1,90.8,71.5,76.5,N,71.7,13.2,N,34,43.3,10.3,10.1,4.3,88.6,12.2,1.2,7,2.4,70.7,10.2,3.9,62.2,23.8,24.9
"Augusta County, Virginia",13.7,10.7,14.0,18.0,4.3,9.0,31.6,13.2,86.7,23.0,24.0,96.0,14.8,27.7,24.1,77.9,31.2,18.4,87.6,23.4,25.4,71.4,N,N,N,N,N,N,N,N,7.2,7.8,6.6,75.3,36.4,1.4,9.3,0.9,N,N,N,N,33.2,31.8
"Bedford County, Virginia",17.5,10.8,37.2,11.8,2.1,5.8,29.7,15.0,92.1,29.7,29.6,100.0,23.5,42.9,29.7,85.8,29.3,15.1,92.6,31.0,28.7,77.9,N,N,N,N,N,N,N,N,5.4,1.5,1.5,72.6,42.0,0.8,9.6,1.6,88.6,1.2,1.6,87.7,32.1,30.0
"Chesterfield County, Virginia",11.8,11.1,47.7,14.4,3.0,3.4,22.3,24.4,93.7,40.6,40.5,94.0,32.3,37.5,43.6,90.3,42.8,30.6,96.2,46.5,44.1,94.1,63.8,53.3,N,60.1,15.2,25.5,17.4,21.7,9.0,3.9,2.3,83.5,28.9,0.7,12.7,2.3,67.7,3.9,3.2,62.2,33.4,33.7
"Fairfax County, Virginia",13.9,11.6,41.8,21.6,4.9,3.6,13.2,31.3,91.6,63.6,58.7,94.0,54.8,64.9,59.2,87.6,67.5,44.7,98.1,75.0,68.6,93.5,66.6,56.6,N,57,15.2,64.4,26.3,29.5,7.3,5.2,3.2,87.2,21.3,0.8,9.1,3.8,61.9,19.1,4.2,51.2,28.3,28.6
"Fauquier County, Virginia",14.5,9.8,37.5,11.1,2.9,5.5,16.9,16.9,91.6,30.5,38.7,99.6,22.6,36.7,35.8,90.9,49.2,32.5,92.8,31.2,37.1,75.5,N,N,N,N,N,N,13.7,44.4,5.7,1.4,4.9,80.7,34.0,0.7,5.5,5.5,86.5,1.9,3.5,80.6,39.3,41.4
"Frederick County, Virginia",11.1,12.6,28.3,9.0,1.9,4.3,31.3,17.4,93.8,27.7,29.3,96.7,20.6,33.4,26.8,89.3,34.8,27.5,94.8,29.4,31.1,N,N,N,N,N,N,N,5.3,27.9,3.7,3.9,1.3,79.8,33.4,0.9,7.3,2.1,90.7,1.4,3.2,84.2,28.8,27.9
"Hanover County, Virginia",3.7,3.7,38.2,8.6,1.6,5.3,22.9,23.9,93.1,37.1,44.1,96.2,30.5,60.9,45.7,79.7,34.1,25.5,93.6,39.4,45.0,69.6,N,N,N,N,N,N,N,N,7.2,4.5,2.7,80.4,35.6,0.8,6.6,2.7,86.7,1,3.1,84.4,40.4,39.0
"Henrico County, Virginia",15.1,14.3,46.0,14.7,2.3,5.2,22.2,27.5,92.6,44.1,40.2,91.8,48.4,45.9,38.6,90.7,40.3,28.1,95.1,50.3,47.0,85.9,71.4,64,N,N,N,32.3,24.9,16.4,9.8,6.4,4.0,82.7,28.8,1.3,10,2.8,57.7,8.3,3.2,54,32.6,32.3
"James City County, Virginia",27.9,28.6,17.2,6.6,0.9,3.7,18.8,27.1,95.3,50.3,50.4,90.7,29.7,60.6,54.7,93.2,62.1,38.7,97.1,57.4,56.9,83.5,N,N,N,N,N,N,N,N,16.1,4.0,2.1,73.4,40.2,0.3,N,N,78.9,2.2,5,75.3,29.1,31.4
"Loudoun County, Virginia",11.4,8.0,43.4,19.3,3.7,3.6,12.3,34.5,92.7,62.0,57.4,94.5,53.7,61.7,53.5,87.7,57.2,41.6,96.9,66.0,59.3,93.3,78.6,69.8,N,77.8,38.1,62.9,21.5,34.9,6.5,1.6,2.6,91.9,16.8,1.0,8.4,2.8,66.9,17.6,4.7,56.5,28.9,29.4
"Montgomery County, Virginia",1.6,1.5,78.7,19.5,3.0,4.1,21.0,25.0,92.9,53.1,47.6,95.3,55.9,57.2,50.9,85.4,47.3,22.3,92.5,49.7,44.0,N,N,N,N,N,N,N,N,N,18.4,5.3,3.5,81.5,22.3,2.2,10.3,1.7,85.5,5.5,3,83.7,36.7,31.7
"Prince William County, Virginia",12.9,9.3,42.5,12.8,6.2,5.0,21.4,24.0,88.7,41.8,39.2,90.5,33.8,48.7,38.0,87.6,48.6,22.5,96.3,51.2,44.9,94.8,55.6,43.7,N,54.5,11.8,45.5,17,19.4,7.7,4.3,3.3,88.9,19.2,1.3,10.3,4.1,55.9,8.9,5.1,43.7,35.6,36.2
"Roanoke County, Virginia",11.6,6.7,35.2,15.4,2.9,4.6,22.2,19.7,92.5,31.7,34.4,95.9,34.5,47.9,34.8,84.5,32.8,23.3,93.2,32.5,36.1,91.2,11,8.9,N,N,N,N,N,N,7.8,5.1,4.2,73.5,37.7,1.3,5.9,1.4,87.6,3.1,1.5,86.2,35.1,34.9
